complete,unique_identifier,checkmark_completed,status,century,year_to_display,year_to_sort,place,revolt_name,description,encoded_description,citations,resource_links,video_link,latitude,longitude,latlong_status,presentation_folder,notes,remediation,graphic_artists
FALSE,kBls7l,TRUE,Needs remediation (see Remediation column),800,869,869,"Lower Mesopotamia, Iraq",Zanj Rebellion,"869-883 Thousands of Africans working in the salt mines revolted in three separate rebellions that inflected major defeats on the Arabs that lasted fourteen years. The war ended in 883 with the promise of amnesty and a number of beheadings,""those Africans who had defected to the Caliph's army were not returned to slavery."" An estimated 2.5 million people died during the war. Over 14 million African slaves were exported to Muslim regions. Gatetheroot.com also David Brion Davis, Challenging The Boundaries of Slavery.",,"David Brion. Challenging the Boundaries of Slavery. Harvard University Press, 2006. ",https://youtu.be/OneYxSozCgg,,31.436,49.0413,Precise,,no folder ,No folder,
FALSE,lgffqr,TRUE,Needs remediation (see Remediation column),1400,1470,1470,Ghana,,"(Image 1) King Ansah of Ghana 1470-1486 had the Fante people watch for ships and prevented them from coming ashore. King Ansah of Ghana 1470 - 1472: Little is known about the earlier battles that occurred at the onset of the slave trade. These battles were precursory to the resistence later seen across the region. As early as the 1400‚Äôs, there appeared to be resisitence to the early signs and intentions of enslavement behaviors exhibited by the Portuguese who had formed allences with many of the Ghanain inhabitants. Notibly, King Ansah of Ghana and the Fante people were one such group that persisted in their resistence. They refused to participate in the slave trade. They dimissed the Portuguese from thier land and kept watch for foreign vessels that sailed their waters and prevented them from embarking. They would kill any intruders that tried to come ashore. This held the European invaders at bay for a while but they were persistent in their efforts. They had an appetite for enslaving people.","<img src=""/image1""> King Ansah of Ghana 1470-1486 had the Fante people watch for ships and prevented them from coming ashore. King Ansah of Ghana 1470 - 1472: Little is known about the earlier battles that occurred at the onset of the slave trade. These battles were precursory to the resistence later seen across the region. As early as the 1400's, there appeared to be resisitence to the early signs and intentions of enslavement behaviors exhibited by the Portuguese who had formed allences with many of the Ghanain inhabitants. Notibly, King Ansah of Ghana and the Fante people were one such group that persisted in their resistence. They refused to participate in the slave trade. They dimissed the Portuguese from thier land and kept watch for foreign vessels that sailed their waters and prevented them from embarking. They would kill any intruders that tried to come ashore. This held the European invaders at bay for a while but they were persistent in their efforts. They had an appetite for enslaving people.","(afrikanholocaust.com) and Article from The African Exponent Monday Mar 27th, 2023 By Tatenda Gwaambuka. July 23rd, 2017 https://www.africanexponent.com/post/8503-the-untold-story-of-african-resistance-against-the-slave-trade Link: http://www.africaspeaks.com/reasoning/index.php?topic=1405.0%3Bwap2 Think Africa - 10 nations that didn‚Äôt take part in the slave trade By Editorial Team / March 6, 2021 https://thinkafrica.net/10-nations-that-didnt-take-part-in-the-slave-trade/",not yet found,,5.85367,-0.22136,Precise,https://drive.google.com/drive/folders/15NpfvYwAHFqXa6GfzDD_NH2KF4z4nn-k?usp=sharing,,Missing/inaccurate image source,
FALSE,jZ9Zlo,TRUE,,1500,1522,1522,Dominican Republic,,"This revolt was led by the Wolof from Senegal in present day Dominican Republic; one of the most serious revolts in Hispaniola . ""The uprising started on December 25, 1522, four miles from Santo Domingo on the sugar plantation of Admiral Don Diego Colon, the viceroy of the Indies and Christopher Columbus's son(Insert Image1). The date had been carefully chosen as usually on that day the Spaniards were drunk or tired from the festivities of the night before (Insert image2). The Wolof insurgents met with a group of about twenty men from other plantations, armed with the machetes they used to cut cane, they killed nine whites and burned fields(Insert Image3). Although defeated, the rebellion had instilled tremendous fear in Spanish colonists and they took measures to guard themselves from people who were most involved in the uprising"" ...by passing anti -Muslim and anti Wolof legislation.","This revolt was led by the Wolof from Senegal in present day Dominican Republic; one of the most serious revolts in Hispaniola . ""The uprising started on December 25, 1522, four miles from Santo Domingo on the sugar plantation of Admiral Don Diego Colon, the viceroy of the Indies and Christopher Columbus's son <img src=""/image1"">. The date had been carefully chosen as usually on that day the Spaniards were drunk or tired from the festivities of the night before <img src=""/image2"">. The Wolof insurgents met with a group of about twenty men from other plantations, armed with the machetes they used to cut cane, they killed nine whites and burned fields <img src=""/image3"">. Although defeated, the rebellion had instilled tremendous fear in Spanish colonists and they took measures to guard themselves from people who were most involved in the uprising"" ...by passing anti -Muslim and anti Wolof legislation.","Image 1:https://commons.wikimedia.org/wiki/File:Diego_Colon.jpg Diego Colón, first son of Christopher Columbus, 16th century.(Public domain) Image 2: Slaves from Guinea digging for gold and silver in mines in Hispaniola - America (1595) https://commons.wikimedia.org/wiki/File:Slaves_from_Guinea_digging_for_gold_and_silver_in_mines_in_Hispaniola_-_America_(1595),_A2_-_BL.jpg Image 3: purchased from Alamy","Encyclopedia of Slave Resistance and Rebellion, Junius Rodriguez, eds. Greenwood Press: 2006 pp. 250-251",,18.4861,-69.9312,Approximate,https://drive.google.com/drive/folders/1frxKcRZvUyX-qPzpAmqoNHqXMt8I9aJY?usp=sharing,,,
FALSE,Liugt3,TRUE,Needs remediation (see Remediation column),1500,1522,1522,Panama,,"(Insert Image 3) ""King Bayano, a Mandinko and alleged Muslim who was captured by slavers in West Africa, leads escaped slaves in the largest sixteenth-century revolt against Spanish colonial rule in Panama"". The ship carrying 400 Africans sank and they thereby escaped and set up a community and elected Bayano to be their leader. ""This was the first rebellion against colonial authority in the America's.""(Image Missing) Bayano was able to swell his ranks with help from the ""Cimarrones"" those Blacks who married Indians, Scottish and English pirates to fight against the Spanish. Bayano and his regades thwarted Spanish caravans taking their gold and silver and fought the Spanish for over five years. The Spanish sent a conquistador to subdue him but was unable so they lured Bayano to a peace negotiation and poisoned his men,(Insert Image 4) Bayano was captured and exiled to Peru and then to Spain where he lived comfortably with the wealth he amassed. Bayano's followers were allowed to maintain their freedom.(Insert Image 1)","<img src=""/image3""> ""King Bayano, a Mandinko and alleged Muslim who was captured by slavers in West Africa, leads escaped slaves in the largest sixteenth-century revolt against Spanish colonial rule in Panama"". The ship carrying 400 Africans sank and they thereby escaped and set up a community and elected Bayano to be their leader. ""This was the first rebellion against colonial authority in the America's.""(Image Missing) Bayano was able to swell his ranks with help from the ""Cimarrones"" those Blacks who married Indians, Scottish and English pirates to fight against the Spanish. Bayano and his regades thwarted Spanish caravans taking their gold and silver and fought the Spanish for over five years. The Spanish sent a conquistador to subdue him but was unable so they lured Bayano to a peace negotiation and poisoned his men,<img src=""/image4""> Bayano was captured and exiled to Peru and then to Spain where he lived comfortably with the wealth he amassed. Bayano's followers were allowed to maintain their freedom.<img src=""/image1"">",,,,8.8855,-80.2767,Precise,https://drive.google.com/drive/folders/1uKg1W1V7GDxPI6b91AJcRJCzji9gnEpr?usp=sharing,,No citations. No image sources,
FALSE,uzncRh,TRUE,,1500,1526,1526,"Sapelo Island, Georgia","1526 Sapelo Island Resistance 
",(insertimage)This was the first European settlement on the mainland thereby making this the first slave revolt in North America.The Spanish fled and the Africans joined forces with the Indigenous population(insert Image1).,"<img src=""/image1""> This was the first European settlement on the mainland thereby making this the first slave revolt in North America.The Spanish fled and the Africans joined forces with the Indigenous population.","“Sapelo Island.” Official Georgia Tourism &amp; Travel Website | Explore Georgia.Org, 23 May 2023, www.exploregeorgia.org/city/sapelo-island. ",not found,,33.4213,-79.2902,Precise,https://drive.google.com/drive/folders/1e3TwaYnejKYMtdC_UXzSrYl_DdxzINUg?usp=sharing,,,
FALSE,y6gKcd,TRUE,,1500,1527,1527,Puerto Rico,1527 Puerto Rico Revolt,"(insertimage)The 1527 slave revolt in Puerto Rico stands out in the island's history. Christopher Columbus tried to appease the whites by being harsh on the Africans and Indians; there were many ill-fated revolts, but this one was significant. The rebellion was led by an enslaved African named Guamaní, originally from the Gold Coast (present-day Ghana). Guamaní organized this revolt with a group of enslaved people and the indigenous Taino. They attacked the Spanish settlement of San Germán, killing several colonizers and burning down buildings. The rebels then moved on to attack other settlements in the region. However, the Spanish authorities quickly responded to the rebellion, sending troops to suppress the uprising. The rebels were defeated after several battles; many were captured, forty slaves were shot, and many fled the island. Despite the revolt's failure, it was a powerful symbol of resistance against slavery and oppression. The legacy of Guamaní and the other rebels has inspired subsequent generations of Puerto Ricans to fight for justice and equality. .","<img src=""/image1""> The 1527 slave revolt in Puerto Rico stands out in the island's history. Christopher Columbus tried to appease the whites by being harsh on the Africans and Indians; there were many ill-fated revolts, but this one was significant. The rebellion was led by an enslaved African named Guamaní, originally from the Gold Coast (present-day Ghana). Guamaní organized this revolt with a group of enslaved people and the indigenous Taino. They attacked the Spanish settlement of San Germán, killing several colonizers and burning down buildings. The rebels then moved on to attack other settlements in the region. However, the Spanish authorities quickly responded to the rebellion, sending troops to suppress the uprising. The rebels were defeated after several battles; many were captured, forty slaves were shot, and many fled the island. Despite the revolt's failure, it was a powerful symbol of resistance against slavery and oppression. The legacy of Guamaní and the other rebels has inspired subsequent generations of Puerto Ricans to fight for justice and equality. .","Image 2: Originally published/produced in London : Thomas Clay, 1823. mage taken from Ten Views in the Island of Antigua, in which are represented the process of sugar making, and the employment of the negroes. From drawings made by W. Clark, etc.
File:Digging the Cane-Holes - Ten Views in the Island of Antigua (1823 ..., commons.wikimedia.org/wiki/File:Digging_the_Cane-holes_-_Ten_Views_in_the_Island_of_Antigua_(1823),_plate_II_-_BL.jpg. Accessed 23 May 2023. ","https://commons.wikimedia.org/wiki/File:Digging_the_Cane-holes_-_Ten_Views_in_the_Island_of_Antigua_(1823),_plate_II_-_BL.jpg (Public domain)",,18.2208,-66.5901,Precise,https://drive.google.com/drive/folders/1aoynsE4pGqujRfHgGwgz2kQcd_Wo9NUW?usp=sharing,,,
FALSE,PBivp4,TRUE,,1500,1532,1532,Venezuela,,"The 1532 slave revolt in Venezuela was an uprising by enslaved Africans who were brought to the colony by the Spanish to work in the fields and mines. The rebellion was led by an enslaved African named Juan de Bolas, who had been a chieftain in his homeland before being captured and enslaved. During the revolt, Juan de Bolas and his followers attacked and killed Spanish settlers and soldiers, burned down buildings, and seized control of towns and plantations. The rebellion lasted for several months before being brutally suppressed by Spanish forces.The revolt was one of the earliest and most significant slave uprisings in the Americas and is considered a precursor to other slave revolts that would occur in the centuries that followed.","The 1532 slave revolt in Venezuela was an uprising by enslaved Africans who were brought to the colony by the Spanish to work in the fields and mines. The rebellion was led by an enslaved African named Juan de Bolas, who had been a chieftain in his homeland before being captured and enslaved. During the revolt, Juan de Bolas and his followers attacked and killed Spanish settlers and soldiers, burned down buildings, and seized control of towns and plantations. The rebellion lasted for several months before being brutally suppressed by Spanish forces.The revolt was one of the earliest and most significant slave uprisings in the Americas and is considered a precursor to other slave revolts that would occur in the centuries that followed.","1532 Slave Revolt in Venezuela."" Encyclopedia of African American History, edited by Leslie Alexander and Walter Rucker, vol. 1, ABC-CLIO, 2010, pp. 238-239",https://www.globalafricanworker.com/content/afro-venezuelan-struggles-constitutional-recognition,,11.3946,-69.681,Approximate,https://drive.google.com/drive/folders/1gfcZy-FogArAxiu7rbwAWuuRwa4Ajvq-?usp=sharing,,,
FALSE,hmnUlM,FALSE,Needs remediation (see Remediation column),1500,1532,1532,Barbary Coast,,"Up to 12,000 Barbary slaves seized the opportunity of a Spanish military assault on Tunis to revolt and free themselves.",,"Johannes Postma, Slave Revolts, Westport: Greenwich, 2008.",https://youtu.be/ikIhLUoOeHU,,32.887194,13.191306,Approximate,,,No folder,
FALSE,ShIylN,FALSE,Needs remediation (see Remediation column),1500,1533,1533,"Santa Marta, Columbia",,"There is limited information available about a slave revolt in Santa Marta, Colombia in 1533. However, historical records indicate that there was a rebellion of African slaves against their Spanish masters in the region at that time. According to some sources, the revolt was led by an African slave named Juan de Palomino, who had been brought to Colombia from the Congo. The slaves attacked and burned Spanish settlements and plantations, killing many of their masters. The Spanish authorities eventually crushed the revolt and punished the rebellious slaves harshly. Palomino and other leaders of the revolt were executed, and many other slaves were subjected to brutal torture and punishment. The 1533 slave revolt in Santa Marta was one of the earliest recorded slave uprisings in the Americas, and it demonstrated the deep-seated resentment and resistance that many African slaves felt towards their European masters.",,"Jeremy D. Popkin, ""Resistance and Rebellion in the Early Modern Atlantic World, Routledge, 2017.",,,,,,,needs info/ needs presentation,No folder. Missing/inaccurate lat/long,
FALSE,7ugdV4,TRUE,,1500,1537,1537,Mexico City,Mexcio City Revolt,"Slave conspiracies in Mexico City, New Spain where the Africans had chosen a King and decided to kill all the Spanairds and take the land. Indigenous people were also involved. The plot was discovered and suppressed before manifesting. (Insert Image)","Slave conspiracies in Mexico City, New Spain where the Africans had chosen a King and decided to kill all the Spanairds and take the land. Indigenous people were also involved. The plot was discovered and suppressed before manifesting. <img src=""/image1"">","Image1: taken from America.- Part V.- Latin. Originally published/produced in Frankfurt, 1595 (1617 ?) Public domain.",http://nationalhumanitiescenter.org/pds/amerbegin/settlement/text6/SlavePlotMexico.pdf,,19.4326,-99.1332,Precise,https://drive.google.com/drive/folders/1pRAO75XE0nljmxgiyfA7wkFLn9N6QnDD?usp=sharing,,,
